,time,position,x,velocity,v_m_t,v_m_p
0,0.0,0.021688088398337024,0.9666666666666667,0.009809999999998986,3.278363081006744,3.1395767634241287
1,0.001003344481605351,0.022257101262566747,0.9666666666666667,0.5690128642297232,3.2720480234197398,3.1391867812326484
2,0.002006688963210702,0.023406087624906924,0.9666666666666667,1.1489863623401764,3.2657130780789796,3.1383959638053827
3,0.0030100334448160534,0.025127522170579453,0.9666666666666667,1.7214345456725288,3.2593581823527704,3.1372027345475777
4,0.004013377926421404,0.02741023899502293,0.9666666666666667,2.282716824443476,3.252983273412176,3.1356047566107326
5,0.005016722408026755,0.03023957586736392,0.9666666666666667,2.829336872340993,3.246588288230395,3.1335990175404835
6,0.006020066889632107,0.03359756292878491,0.9666666666666667,3.357987061420986,3.2401731635821385,3.1311819401330996
7,0.007023411371237458,0.03746315278016332,0.9666666666666667,3.865589851378415,3.233737836043004,3.128349517701793
8,0.008026755852842809,0.04181248825680328,0.9666666666666667,4.3493354766399595,3.22728224198885,3.125097471308013
9,0.00903010033444816,0.04661920359842597,0.9666666666666667,4.8067153416226915,3.2208063175951662,3.121421425765342
10,0.01003344481605351,0.05185475421028052,0.9666666666666667,5.235550611854545,3.2143099988364416,3.117317100385126
11,0.011036789297658861,0.05748876978522888,0.9666666666666667,5.634015574948359,3.2077932214855336,3.1127805095291556
12,0.012040133779264214,0.06348942522425216,0.9666666666666667,6.000655439023284,3.201255921113029,3.1078081671070157
13,0.013043478260869565,0.06920538339028981,0.9333333333333333,1.1590111645448653,3.1946980330866133,3.102933033899421
14,0.014046822742474915,0.07061928465926348,0.9333333333333333,1.4139012689736719,3.1881194925704253,3.10170578718468
15,0.015050167224080266,0.0723132881005083,0.9333333333333333,1.694003441244818,3.18152023452442,3.1002241124738963
16,0.016053511705685617,0.0743109309248211,0.9333333333333333,1.9976428243128064,3.1749001937037242,3.0984608908257836
17,0.01705685618729097,0.0766336121080371,0.9333333333333333,2.322681183215991,3.168259304657991,3.0963888325790903
18,0.01806020066889632,0.07930016883627711,0.9333333333333333,2.6665567282400104,3.1615975017307556,3.0939805783233485
19,0.01906354515050167,0.08232650060620905,0.9333333333333333,3.0263317699319447,3.154914719058781,3.09120878887409
20,0.02006688963210702,0.08572524783884783,0.9333333333333333,3.398747232638777,3.148210890571412,3.088046232025822
21,0.021070234113712373,0.08950553076239975,0.9333333333333333,3.7802829235519253,3.141485949989919,3.084465874316303
22,0.022073578595317722,0.09367275311001289,0.9333333333333333,4.167222347613131,3.134739830826843,3.080440986031176
23,0.023076923076923075,0.09822847388720879,0.9333333333333333,4.555720777195904,3.12797246638534,3.075945267211079
24,0.024080267558528427,0.10317034911790712,0.9333333333333333,4.941875230698334,3.1211837897585184,3.0709530014991047
25,0.025083612040133776,0.10849214410495456,0.9333333333333333,5.321794987047435,3.114373733828782,3.0654392432915407
26,0.02608695652173913,0.11381602884242381,0.9,1.4150199274512998,3.1075422312671614,3.0597767340641986
27,0.027090301003344478,0.11545681914791484,0.9,1.6407903054910244,3.100689214532653,3.0580014241833404
28,0.02809364548494983,0.11734257677145155,0.9,1.8857576235367102,3.093814615871547,3.0559432568295497
29,0.02909698996655518,0.11949184792776035,0.9,2.1492711563088074,3.086918367316762,3.053574044953129
30,0.030100334448160532,0.12192221477623444,0.9,2.430366848474086,3.0800004006871675,3.0508645694961287
31,0.03110367892976588,0.12464998246746695,0.9,2.7277676912325077,3.0730606475869164,3.0477846415398937
32,0.032107023411371234,0.12768987301155332,0.9,3.0398905440863766,3.066099039404763,3.0443031671265772
33,0.03311036789297658,0.13105473245876442,0.9,3.3648594472110993,3.0591155073133867,3.040388218436636
34,0.03411371237458194,0.13475525778197395,0.9,3.7005253232095248,3.0521099822687137,3.0360071160059676
35,0.03511705685618729,0.13879974960275088,0.9,4.04449182077693,3.045082395009232,3.0311265275126793
36,0.03612040133779264,0.14319389651307968,0.9,4.3941469103288,3.0380326760553062,3.0257125892963925
37,0.03712374581939799,0.1479405962193533,0.9,4.746699706273616,3.0309607557084917,3.0197310571338467
38,0.03812709030100334,0.15303981808486034,0.9,5.099221865507042,3.023866564050846,3.0131474928237814
39,0.03913043478260869,0.15643806905428626,0.8666666666666667,1.5982336491731086,3.016750030944237,3.0086672823145975
40,0.04013377926421404,0.15824964349012505,0.8666666666666667,1.811574435838792,3.0096110860296483,3.0062480925030055
41,0.0411371237458194,0.16029056553478832,0.8666666666666667,2.0409220446632736,3.002449658726486,3.003496635882351
42,0.042140468227424746,0.16257642585816512,0.8666666666666667,2.2858603233767982,2.9952656782318794,3.000381937551423
43,0.043143812709030095,0.16512217463540696,0.8666666666666667,2.545748777241841,2.98805907351998,2.9968715737010747
44,0.044147157190635444,0.16794189168262752,0.8666666666666667,2.81971704722056,2.9808297733412625,2.992931687116128
45,0.0451505016722408,0.17104855500215616,0.8666666666666667,3.1066633195286353,2.9735777062218163,2.9885270082494624
46,0.04615384615384615,0.17445381191655368,0.8666666666666667,3.4052569143975253,2.966302800462642,2.9836208851645845
47,0.0471571906354515,0.17816775713809713,0.8666666666666667,3.7139452215434465,2.9590049841389416,2.9781753265440982
48,0.048160535117056855,0.1821987222005761,0.8666666666666667,4.0309650624789635,2.9516841850994067,2.972151062827851
49,0.049163879598662204,0.18655308066783644,0.8666666666666667,4.354358467260344,2.9443403309655065,2.965507631330153
50,0.05016722408026755,0.19123507342538948,0.8666666666666667,4.681992757553044,2.936973349130771,2.9582034918382254
51,0.0511705685618729,0.19559383874602504,0.8333333333333334,1.5601802076737892,2.929583166760073,2.9512504638541768
