,time,position,zeta,velocity
0,0.0,0.0007657777419354839,0.0,0.7657777419354839
1,0.0,0.0007657777419354839,0.03333333333333333,0.009809999999999961
2,0.0,0.0030336809677419356,0.06666666666666667,0.009809999999999854
3,0.0,0.006813519677419356,0.1,0.009809999999999854
4,0.0,0.012105293870967744,0.13333333333333333,0.009810000000000721
5,0.0,0.018909003548387097,0.16666666666666666,0.009809999999998986
6,0.0,0.027224648709677425,0.2,0.009809999999998986
7,0.0,0.03705222935483871,0.23333333333333334,0.009809999999998986
8,0.0,0.04839174548387097,0.26666666666666666,0.009809999999998986
9,0.0,0.06124319709677419,0.3,0.009809999999998986
10,0.0,0.07560658419354839,0.3333333333333333,0.009809999999998986
11,0.0,0.09148190677419353,0.36666666666666664,0.009809999999998986
12,0.0,0.1088691648387097,0.4,0.009809999999998986
13,0.0,0.1277683583870968,0.43333333333333335,0.009809999999998986
14,0.0,0.14817948741935486,0.4666666666666667,0.009809999999998986
15,0.0,0.17010255193548388,0.5,0.009809999999998986
16,0.0,0.1935375519354839,0.5333333333333333,0.009809999999998986
17,0.0,0.2184844874193548,0.5666666666666667,0.009809999999998986
18,0.0,0.24494335838709677,0.6,0.009809999999998986
19,0.0,0.27291416483870967,0.6333333333333333,0.009809999999998986
20,0.0,0.30239690677419356,0.6666666666666666,0.009809999999998986
21,0.0,0.33339158419354836,0.7,0.009809999999998986
22,0.0,0.3658981970967741,0.7333333333333333,0.009809999999998986
23,0.0,0.39991674548387096,0.7666666666666666,0.009809999999998986
24,0.0,0.4354472293548388,0.8,0.009809999999998986
25,0.0,0.47248964870967747,0.8333333333333334,0.009809999999998986
26,0.0,0.5110440035483872,0.8666666666666667,0.009809999999998986
27,0.0,0.5511102938709678,0.9,0.009809999999998986
28,0.0,0.5926885196774194,0.9333333333333333,0.009809999999998986
29,0.0,0.6357786809677419,0.9666666666666667,0.009809999999998986
30,0.0,0.5904206164516129,1.0,-89.95035129032259
31,0.001003344481605351,0.0007853648777057773,0.0,0.01958713577029339
32,0.001003344481605351,0.0007853648777057773,0.03333333333333333,0.01958713577029339
33,0.001003344481605351,0.003048363103512229,0.06666666666666667,0.014682135770293248
34,0.001003344481605351,0.006828201813189649,0.1,0.014682135770292815
35,0.001003344481605351,0.012119976006738038,0.13333333333333333,0.01468213577029455
36,0.001003344481605351,0.01892368568415739,0.16666666666666666,0.014682135770292815
37,0.001003344481605351,0.027239330845447718,0.2,0.014682135770292815
38,0.001003344481605351,0.037066911490609006,0.23333333333333334,0.014682135770292815
39,0.001003344481605351,0.048406427619641264,0.26666666666666666,0.014682135770292815
40,0.001003344481605351,0.061257879232544485,0.3,0.014682135770292815
41,0.001003344481605351,0.07562126632931868,0.3333333333333333,0.014682135770285876
42,0.001003344481605351,0.09149658890996382,0.36666666666666664,0.014682135770285876
43,0.001003344481605351,0.10888384697447999,0.4,0.014682135770285876
44,0.001003344481605351,0.1277830405228671,0.43333333333333335,0.014682135770299753
45,0.001003344481605351,0.14819416955512515,0.4666666666666667,0.014682135770299753
46,0.001003344481605351,0.17011723407125418,0.5,0.014682135770299753
47,0.001003344481605351,0.1935522340712542,0.5333333333333333,0.014682135770299753
48,0.001003344481605351,0.2184991695551251,0.5666666666666667,0.014682135770299753
49,0.001003344481605351,0.24495804052286707,0.6,0.014682135770299753
50,0.001003344481605351,0.27292884697447994,0.6333333333333333,0.014682135770271998
51,0.001003344481605351,0.30241158890996384,0.6666666666666666,0.014682135770271998
52,0.001003344481605351,0.33340626632931863,0.7,0.014682135770271998
53,0.001003344481605351,0.3659128792325444,0.7333333333333333,0.014682135770271998
54,0.001003344481605351,0.39993142761964123,0.7666666666666666,0.014682135770271998
55,0.001003344481605351,0.4354619114906091,0.8,0.014682135770271998
56,0.001003344481605351,0.47250433084544774,0.8333333333333334,0.014682135770271998
57,0.001003344481605351,0.5110586856841575,0.8666666666666667,0.014682135770271998
58,0.001003344481605351,0.551124976006738,0.9,0.014682135770271998
59,0.001003344481605351,0.5927032018131897,0.9333333333333333,0.014682135770271998
60,0.001003344481605351,0.6352096681035122,0.9666666666666667,-0.5690128642297232
61,0.001003344481605351,0.5898516035873832,1.0,-0.5690128642297232
62,0.002006688963210702,0.0008097594595515412,0.0,0.02439458184576391
63,0.002006688963210702,0.0008097594595515412,0.03333333333333333,0.02439458184576391
64,0.002006688963210702,0.003063011336288225,0.06666666666666667,0.014648232775996313
65,0.002006688963210702,0.006842818220500529,0.1,0.01461640731087975
66,0.002006688963210702,0.012134592414048921,0.13333333333333333,0.01461640731088322
67,0.002006688963210702,0.018938302091468264,0.16666666666666666,0.014616407310874546
68,0.002006688963210702,0.027253947252758592,0.2,0.014616407310874546
69,0.002006688963210702,0.03708152789791988,0.23333333333333334,0.014616407310874546
70,0.002006688963210702,0.04842104402695214,0.26666666666666666,0.014616407310874546
71,0.002006688963210702,0.06127249563985536,0.3,0.014616407310874546
72,0.002006688963210702,0.07563588273662956,0.3333333333333333,0.014616407310888424
73,0.002006688963210702,0.0915112053172747,0.36666666666666664,0.014616407310888424
74,0.002006688963210702,0.10889846338179088,0.4,0.014616407310888424
75,0.002006688963210702,0.12779765693017797,0.43333333333333335,0.014616407310874546
76,0.002006688963210702,0.14820878596243603,0.4666666666666667,0.014616407310874546
77,0.002006688963210702,0.17013185047856505,0.5,0.014616407310874546
78,0.002006688963210702,0.19356685047856506,0.5333333333333333,0.014616407310874546
79,0.002006688963210702,0.21851378596243598,0.5666666666666667,0.014616407310874546
80,0.002006688963210702,0.24497265693017795,0.6,0.014616407310874546
